gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912331946	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000396082	Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria araucana (Molina) K.Koch	Araucaria araucana	(Molina) K.Koch	CL	Parque Nacional Nahuelbuta		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					380.0				2009-03-27T00:00	27	3	2009	2684984	2684984	PRESERVED_SPECIMEN	K	Herbarium	K000396082	73			CC_BY_4_0		CHIX			2025-02-20T22:51:34.689Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912331924	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000396084	Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria araucana (Molina) K.Koch	Araucaria araucana	(Molina) K.Koch	CL	Parque Nacional Nahuelbuta		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					398.0				2009-03-27T00:00	27	3	2009	2684984	2684984	PRESERVED_SPECIMEN	K	Herbarium	K000396084	75			CC_BY_4_0		CHIX			2025-02-20T22:51:34.611Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912331923	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000396081	Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria araucana (Molina) K.Koch	Araucaria araucana	(Molina) K.Koch	CL	Parque Nacional Nahuelbuta		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					360.0				2009-03-27T00:00	27	3	2009	2684984	2684984	PRESERVED_SPECIMEN	K	Herbarium	K000396081	72			CC_BY_4_0		CHIX			2025-02-20T22:51:34.657Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912331916	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000396087	Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria araucana (Molina) K.Koch	Araucaria araucana	(Molina) K.Koch	CL	Parque Nacional Nahuelbuts		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					295.0				2009-03-27T00:00	27	3	2009	2684984	2684984	PRESERVED_SPECIMEN	K	Herbarium	K000396087	82			CC_BY_4_0		CHIX			2025-02-20T22:51:34.353Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912331914	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000396089	Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria araucana (Molina) K.Koch	Araucaria araucana	(Molina) K.Koch	CL	Parque Nacional Nahuelbuts		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					259.0				2009-03-27T00:00	27	3	2009	2684984	2684984	PRESERVED_SPECIMEN	K	Herbarium	K000396089	84			CC_BY_4_0		CHIX			2025-02-20T22:51:34.592Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912331912	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000396088	Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria araucana (Molina) K.Koch	Araucaria araucana	(Molina) K.Koch	CL	Parque Nacional Nahuelbuts		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					276.0				2009-03-27T00:00	27	3	2009	2684984	2684984	PRESERVED_SPECIMEN	K	Herbarium	K000396088	83			CC_BY_4_0		CHIX			2025-02-20T22:51:34.553Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912331901	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000396086	Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria araucana (Molina) K.Koch	Araucaria araucana	(Molina) K.Koch	CL	Parque Nacional Nahuelbuts		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					295.0				2009-03-27T00:00	27	3	2009	2684984	2684984	PRESERVED_SPECIMEN	K	Herbarium	K000396086	77			CC_BY_4_0		CHIX			2025-02-20T22:51:34.525Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912331881	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000396083	Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria araucana (Molina) K.Koch	Araucaria araucana	(Molina) K.Koch	CL	Parque Nacional Nahuelbuta		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					382.0				2009-03-27T00:00	27	3	2009	2684984	2684984	PRESERVED_SPECIMEN	K	Herbarium	K000396083	74			CC_BY_4_0		CHIX			2025-02-20T22:51:34.635Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912331878	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000396085	Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria araucana (Molina) K.Koch	Araucaria araucana	(Molina) K.Koch	CL	Parque Nacional Nahuelbuta		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					394.0				2009-03-27T00:00	27	3	2009	2684984	2684984	PRESERVED_SPECIMEN	K	Herbarium	K000396085	76			CC_BY_4_0		CHIX			2025-02-20T22:51:34.637Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912026324	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/29047.026	Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria araucana (Molina) K.Koch	Araucaria araucana	(Molina) K.Koch				PRESENT		061b4f20-f241-11da-a328-b8a03c50a862													2684984	2684984	PRESERVED_SPECIMEN	K	Spirit	29047.026				CC_BY_4_0					2025-02-20T22:50:55.565Z		COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
900148650	b4a37621-7556-4705-9349-ede261feebe4	urn:catalog:fcnym.unlp.edu.ar:herb:001279	Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria araucana (Molina) K.Koch	Araucaria araucana	(Molina) K. Koch	AR	Lago Tromen	Neuquén	PRESENT		610414e0-8040-11d9-8294-b8a03c50a862													2684984	2684984	PRESERVED_SPECIMEN	fcnym.unlp.edu.ar	herb	001279	001279			CC_BY_4_0		Cabrera, A. L.			2025-02-01T00:26:47.371Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE
900144804	b4a37621-7556-4705-9349-ede261feebe4	urn:catalog:fcnym.unlp.edu.ar:herb:001280	Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria araucana (Molina) K.Koch	Araucaria araucana	(Molina) K. Koch	AR	Reigslil. Territ. del Neuquén.	Neuquén	PRESENT		610414e0-8040-11d9-8294-b8a03c50a862													2684984	2684984	PRESERVED_SPECIMEN	fcnym.unlp.edu.ar	herb	001280	001280			CC_BY_4_0		Moreno			2025-02-01T00:26:47.372Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE
900144766	b4a37621-7556-4705-9349-ede261feebe4	urn:catalog:fcnym.unlp.edu.ar:herb:001275	Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria araucana (Molina) K.Koch	Araucaria araucana	(Molina) K. Koch	AR	Termas de Copahue.	Neuquén	PRESENT		610414e0-8040-11d9-8294-b8a03c50a862													2684984	2684984	PRESERVED_SPECIMEN	fcnym.unlp.edu.ar	herb	001275	001275			CC_BY_4_0		Cabrera, A. L.			2025-02-01T00:26:47.371Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE
895195069	834a4794-f762-11e1-a439-00145eb45e9a	93593948-30C0-4E5A-9CF7-00A8D8B394AB	Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria imbricata Pav.	Araucaria imbricata Pav.	Pav.	ES	Blanes, Jardín del Sr. Faust	Girona	PRESENT		8209258a-80e8-4094-aba2-a3febe5ed45b									1949-09-10	10	9	1949	2684987	2684984	PRESERVED_SPECIMEN	VAL	VAL	179146-1				CC_BY_NC_4_0		P. Capell S. J.			2025-02-06T20:40:48.775Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
883382269	2429287b-ef65-4cfd-afcc-11cc3ba95cca	urn:catalog:ALTA-VP:110363	Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria araucana (Molina) K.Koch	Araucaria araucana (Molina) C. Koch		CA	University of Alberta	Alberta	PRESENT	1	03cb9700-6cee-11d8-922d-b8a03c50a862	53.516667	-113.516667							1999-08-09	9	8	1999	2684984	2684984	PRESERVED_SPECIMEN	University of Alberta Museums	ALTA-VP	110363	DC1002	Cherniawsky, Donna M.		CC0_1_0	University of Alberta Museums	Cherniawsky, Donna M.			2025-01-31T18:34:40.952Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
866280355	e4246e96-58c0-4241-8e3d-e3ec33538a35	MACN:BA-Pa:156	Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria araucana (Molina) K.Koch	Araucaria araucana					PRESENT		2e4af590-37d0-11d9-8439-b8a03c50a862													2684984	2684984	PRESERVED_SPECIMEN	MACN	BA Pa	156				CC_BY_4_0					2025-02-01T01:45:02.763Z		COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
814350627	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria araucana (Molina) K.Koch	Araucaria araucana (Molina) K. Koch		AR	Lago Tromen al pie del volcán Lanín formando bosques.	Neuquén	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862													2684984	2684984	PRESERVED_SPECIMEN	SI	HERB	470154		-		CC_BY_4_0		Rentzell, I.			2025-02-16T04:42:16.861Z		CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
814350626	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria araucana (Molina) K.Koch	Araucaria araucana (Molina) K. Koch		AR	Road to Paso Pino Hachado, 33.1 km W of bifurcation of Rutas 22 and 21	Neuquén	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862	-38.67	-70.75											2684984	2684984	PRESERVED_SPECIMEN	SI	HERB	462230		-		CC_BY_4_0		Landrum, L. R.			2025-02-16T04:42:16.693Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
814350625	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria araucana (Molina) K.Koch	Araucaria araucana (Molina) K. Koch		AR	Lago Tromen al pie del volcán Lanín formando bosques.	Neuquén	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862													2684984	2684984	PRESERVED_SPECIMEN	SI	HERB	432222		-		CC_BY_4_0		Rentzell, I.			2025-02-16T04:42:16.791Z		CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
814350624	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria araucana (Molina) K.Koch	Araucaria araucana (Molina) K. Koch		AR	Lago Tromen al pie del Volcán Lanín.	Buenos Aires	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862													2684984	2684984	PRESERVED_SPECIMEN	SI	HERB	432216		-		CC_BY_4_0		Rentzell, I.			2025-02-16T04:42:16.643Z		CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
814350623	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Pinopsida	Pinales	Araucariaceae	Araucaria	Araucaria araucana		SPECIES	Araucaria araucana (Molina) K.Koch	Araucaria araucana (Molina) K. Koch		AR	Pino Hachado.	Neuquén	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862	-38.58	-70.43											2684984	2684984	PRESERVED_SPECIMEN	SI	HERB	432211		-		CC_BY_4_0		Burkart, A.			2025-02-16T04:42:16.849Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
